2205,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2206,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2231,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2238,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2246,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2258,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2267,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2282,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2339,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2352,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2377,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2392,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2415,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2444,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2457,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2467,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2472,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2489,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2547,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2559,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2603,"[2200, 2750[","[2200, 3300[","[2200, 5000[",*
2754,"[2750, 3300[","[2200, 3300[","[2200, 5000[",*
2824,"[2750, 3300[","[2200, 3300[","[2200, 5000[",*
3004,"[2750, 3300[","[2200, 3300[","[2200, 5000[",*
3683,"[3300, 3850[","[3300, 5000[","[2200, 5000[",*
3770,"[3300, 3850[","[3300, 5000[","[2200, 5000[",*
3900,"[3850, 5000[","[3300, 5000[","[2200, 5000[",*
4356,"[3850, 5000[","[3300, 5000[","[2200, 5000[",*
